service_type,year,month,url,has_parquet,http_status,content_length,checked_at
yellow,2023,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-08.parquet,True,200,48152353,2025-09-22T03:18:34Z
yellow,2023,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-09.parquet,True,200,47895515,2025-09-22T03:18:34Z
yellow,2023,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-10.parquet,True,200,59009059,2025-09-22T03:18:34Z
yellow,2023,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-11.parquet,True,200,56094653,2025-09-22T03:18:35Z
yellow,2023,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2023-12.parquet,True,200,56804275,2025-09-22T03:18:35Z
yellow,2024,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-01.parquet,True,200,49961641,2025-09-22T03:18:35Z
yellow,2024,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-02.parquet,True,200,50349284,2025-09-22T03:18:36Z
yellow,2024,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-03.parquet,True,200,60078280,2025-09-22T03:18:36Z
yellow,2024,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-04.parquet,True,200,59133625,2025-09-22T03:18:37Z
yellow,2024,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-05.parquet,True,200,62553128,2025-09-22T03:18:37Z
yellow,2024,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-06.parquet,True,200,59859922,2025-09-22T03:18:37Z
yellow,2024,7,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-07.parquet,True,200,52299432,2025-09-22T03:18:38Z
yellow,2024,8,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-08.parquet,True,200,51067350,2025-09-22T03:18:38Z
yellow,2024,9,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-09.parquet,True,200,61170186,2025-09-22T03:18:38Z
yellow,2024,10,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-10.parquet,True,200,64346071,2025-09-22T03:18:38Z
yellow,2024,11,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-11.parquet,True,200,60658709,2025-09-22T03:18:39Z
yellow,2024,12,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-12.parquet,True,200,61524085,2025-09-22T03:18:39Z
yellow,2025,1,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-01.parquet,True,200,59158238,2025-09-22T03:18:39Z
yellow,2025,2,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-02.parquet,True,200,60343086,2025-09-22T03:18:40Z
yellow,2025,3,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-03.parquet,True,200,69964745,2025-09-22T03:18:40Z
yellow,2025,4,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-04.parquet,True,200,67352824,2025-09-22T03:18:40Z
yellow,2025,5,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-05.parquet,True,200,77837865,2025-09-22T03:18:41Z
yellow,2025,6,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-06.parquet,True,200,73542954,2025-09-22T03:18:41Z
